Adelphi University (Garden City, New York)
Ball State University (Muncie, Indiana)
California State University San Marcos (San Marcos, California)
Cedar Crest College (Allentown, Pennsylvania)
Clarkson University (Potsdam, New York)
Concordia College* (Moorhead, Minnesota)
Furman University (Greenville, South Carolina)
The George Washington University (Washington, D.C.)
Hawaii Pacific University (Honolulu, Hawaii)
Illinois College (Jacksonville, Illinois)
Kirkwood Community College (Cedar Rapids, Iowa)
La Roche University (Pittsburgh, Pennsylvania)
Lebanon Valley College (Annville, Pennsylvania)
Loras College (Dubuque, Iowa)
Miami University (Oxford, Ohio)
Michigan State University (East Lansing, Michigan)
National Louis University (Chicago, Illinois)
Rutgers University-Camden (Camden, New Jersey)
Salve Regina University (Newport, Rhode Island)
St. Catherine University (St. Paul, Minnesota)
St. Francis College (Brooklyn Heights, New York)
St. Thomas Aquinas College (Sparkill, New York)
State University of New York at New Paltz (New Paltz, New York)
Stony Brook University (Stony Brook, New York)
Temple University* (Philadelphia, Pennsylvania)
Towson University (Towson, Maryland)
University of Idaho (Moscow, Idaho)
University of Maryland, Baltimore County (Baltimore, Maryland)
University of Mount Union (Alliance, Ohio) 
University of Southern Indiana (Evansville, Indiana)
The University of Tulsa (Tulsa, Oklahoma)
University of Wisconsin - Stout (Menomonie, Wisconsin)
University of Wisconsin - Superior (Superior, Wisconsin)
Valparaiso University (Valparaiso, Indiana)
Wayne State University (Detroit, Michigan)
West Virginia University (Morgantown, West Virginia)
Widener University (Chester, Pennsylvania)
Wilkes University (Wilkes-Barre, Pennsylvania)
Wright State University (Dayton, Ohio)
