法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
イッパンザイダンホウジンエヒメケンハクホウシャ,一般財団法人愛媛県白鳳社,http://www.hakuhousha.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
イッパンザイダンホウジンレイメイカイ,一般財団法人黎明会,,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
イッパンシャダンホウジンマリッジフォーオールケッコンノジユウヲスベテノヒトニ,公益社団法人ＭａｒｒｉａｇｅＦｏｒＡｌｌＪａｐａｎ－結婚の自由をすべての人に,https://www.marriageforall.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンシガケンジンケンセンター,公益財団法人滋賀県人権センター,https://www.shigajinken.or.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンジンケンキョウイクケイハツスイシンセンター,公益財団法人人権教育啓発推進センター,http://www.jinken.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジントウキョウトジンケンケイハツセンター,公益財団法人東京都人権啓発センター,https://www.tokyo-jinken.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジントットリシジンケンジョウホウセンター,公益財団法人鳥取市人権情報センター,http://www.tottori-jinken-joho-center.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンナラケンジンケンセンター,公益財団法人奈良県人権センター,http://web1.kcn.jp/jinken-c/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンハンサベツ・ジンケンケンキュウショミエ,公益財団法人反差別・人権研究所みえ,http://www.kenkyu-mie.or.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンヒョウゴケンジンケンケイハツキョウカイ,公益財団法人兵庫県人権啓発協会,http://www.hyogo-jinken.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンフクオカケンジンケンケイハツジョウホウセンター,公益財団法人福岡県人権啓発情報センター,http://www.fukuokaken-jinken.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンレイエンカイハツキョウカイ,公益財団法人霊園開発協会,http://www.reien-kaihatsu.or.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンワカヤマケンジンケンケイハツセンター,公益財団法人和歌山県人権啓発センター,http://w-jinken.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンアマガサキジンケンケイハツキョウカイ,公益社団法人尼崎人権啓発協会,http://hccweb1.bai.ne.jp/^hcg22501,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンイズミサノシジンケンキョウカイ,公益社団法人泉佐野市人権協会,http://www.sano-jin.sakura.ne.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンオオイタケンジンケンブラクサベツカイショウキョウイクケンキュウキョウギカイ,公益社団法人大分県人権・部落差別解消教育研究協議会,http://kjkoita.jp/wordpress/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンオカヤマブラクカイホウケンキュウショ,公益社団法人岡山部落解放研究所,,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンコウチケンジンケンノマチヅクリスイシンキョウギカイ,公益社団法人高知県人権のまちづくり推進協議会,,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンシガケンジンケンキョウイクケンキュウカイ,公益社団法人滋賀県人権教育研究会,http://www.sijinkyo.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンゼンコクジンケンキョウイクケンキュウキョウギカイ,公益社団法人全国人権教育研究協議会,http://www.zendokyo.com/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジントウキョウブラクカイホウケンキュウジョ,公益社団法人東京部落解放研究所,,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジントットリケンジンケンブンカセンター,公益社団法人鳥取県人権文化センター,https://tottori-jinken.org/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンフクオカケンジンケンケンキュウショ,公益社団法人福岡県人権研究所,http://www.f-jinken.com/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンホッカイドウアイヌキョウカイ,公益社団法人北海道アイヌ協会,http://www.ainu-assn.or.jp,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキシャダンホウジンミエケンジンケンキョウイクケンキュウキョウギカイ,公益社団法人三重県人権教育研究協議会,https://www.sandokyo.jp/,人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
コウエキザイダンホウジンダザイフシコクサイコウリュウキョウカイ,公益財団法人太宰府市国際交流協会,http://www.dciea.or.jp/,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジントヨナカコクサイコウリュウキョウカイ,公益財団法人とよなか国際交流協会,http://www.a-atoms.info/,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンコクサイノウリンギョウキョウドウキョウカイ,公益社団法人国際農林業協働協会,http://www.jaicaf.or.jp,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンミノオシコクサイコウリュウキョウカイ,公益財団法人箕面市国際交流協会,http://www.mafga.or.jp,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンアムネスティ・インターナショナルニホン,公益社団法人アムネスティ・インターナショナル日本,https://www.amnesty.or.jp/,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業"
コウエキシャダンホウジンジユウジンケンキョウカイ,公益社団法人自由人権協会,http://www.jclu.org,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業"
　コウエキザイダンホウジンホッカイドウジョセイキョウカイ,公益財団法人北海道女性協会,https://l-north.jp/,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業"
コウエキザイダンホウジンコウチケンジンケンケイハツセンター,公益財団法人高知県人権啓発センター,https://www.kochi-jinken.or.jp,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンアジアジョセイコウリュウ・ケンキュウフォーラム,公益財団法人アジア女性交流・研究フォーラム,https://www.kfaw.or.jp,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業"
コウエキザイダンホウジン　フクイケンケンコウカンリキョウカイ,公益財団法人福井県健康管理協会,http://fkenkan.or.jp/,公衆衛生の向上を目的とする事業
コウエキザイダンホウジンササグリゴクラクエン,公益財団法人篠栗極楽苑,http://www.gokuraku-net.jp,公衆衛生の向上を目的とする事業
コウエキシャダンホウジンニホンプールアメニティキョウカイ,公益社団法人日本プールアメニティ協会,http://www.jpaa.jp/,"公衆衛生の向上を目的とする事業
事故又は災害の防止を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業"
コウエキザイダンホウジンカンセンショウサベツボウシザイダン,公益財団法人感染症差別防止財団,https://happy-zaidan.com/,"公衆衛生の向上を目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業"
コウエキシャダンホウジンニッポンセイネンカイギショ,公益社団法人日本青年会議所,https://www.jaycee.or.jp/,"公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　トウキョウトジョサンシカイカン,公益財団法人東京都助産師会館,http://www.tokyo-mw-kaikan.or.jp/f_set.html,"公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンクマモトケンイシカイ,公益社団法人熊本県医師会,http://www.kumamoto.med.or.jp/,"公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンシマネケンジュウドウセイフクシカイ,公益社団法人島根県柔道整復師会,http://shimane-jusei.or.jp/,"公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
