大学名,都市
Aalto University,Not found
Adrian College,Adrian
Agnes Scott College,Decatur
Ajou University,Suwon
Alabama A&M University,Huntsville
Albertus Magnus College,New Haven
Allegheny College,Meadville
American College Dublin,County Dublin
American University,Washington
American University in Dubai,Dubai
American University of Sharjah,Sharjah
Amherst College,Amherst
Antioch College,Yellow Springs
Aquinas College,Grand Rapids
Arkansas State University,Jonesboro
Arkansas Tech University,Russellville
Ashland University,Ashland
Asia University in Taiwan,Wufeng District
Augustana College,Rock Island
Azusa Pacific University,Azusa
Babson College,Wellesley
Bard College,Dutchess County
Bard College at Simon's Rock,Great Barrington
Bard College Berlin,Berlin
Barnard College,New York
Barry University,Miami Shores
Barton College,Wilson
Bates College,Lewiston
Bay Path University,Longmeadow
Baylor University,Waco
Beijing Language and Culture University,Bei Jing Shi
Bellarmine University,Louisville
Beloit College,Beloit
Benedictine College,Atchison
Bennington College,Bennington
Berea College,Berea
Berklee College of Music,Boston
Bilkent University,Çankaya
Boise State University,Boise
Boston University,Boston
Bowdoin College,Brunswick
Boyce College,Louisville
Brandeis University,Waltham
Briar Cliff University,Sioux City
Brigham Young University,Provo
Brown University,Providence
Bryn Mawr College,Bryn Mawr
Bucknell University,Lewisburg
California Institute of Technology,Pasadena
California Lutheran University,Thousand Oaks
Cameron University,Lawton
Campbellsville University,Campbellsville
Capital University,Bexley
Carleton College,Northfield
Carnegie Mellon University in Qatar,Ar Rayyan
Carthage College,Kenosha
Case Western Reserve University,Cleveland
Catawba College,Salisbury
Cedar Crest College,Allentown
Cedarville University,Cedarville
Central Methodist University,Fayette
Central Michigan University,Mount Pleasant
Central State University,Wilberforce
Central Washington University,Ellensburg
Centre College,Danville
Chatham University,Pittsburgh
Christendom College,Front Royal
Chung-Ang University,Seoul
City University of Hong Kong,Kowloon
Claremont McKenna College,Claremont
Clark University,Worcester
Clarke University,Dubuque
Cleveland Institute of Music,Cleveland
Coe College,Cedar Rapids
Colby College,Waterville
Colgate University,Hamilton
College of Saint Benedict,Saint Joseph
College of the Atlantic,Bar Harbor
College of the Holy Cross,Worcester
College of Wooster,Wooster
