"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキザイダンホウジンセカイシュウキョウシャヘイワカイギニホンイインカイ","公益財団法人世界宗教者平和会議日本委員会","公益財団法人","内閣府","166-0012","東京都","杉並区和田２丁目７番１号普門メディアセンター３階","03-3384-2337","戸松　義晴","http://www.wcrp.or.jp","0401～0331","障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","公益財団法人世界宗教者平和会議日本委員会_kana","あり","2024-04-11～2029-04-10"
"コウエキザイダンホウジンミノオシコクサイコウリュウキョウカイ","公益財団法人箕面市国際交流協会","公益財団法人","大阪府","562-0032","大阪府","箕面市小野原西５丁目２番３６号箕面市立多文化交流センター内","072-727-6912","前田　一成","http://www.mafga.or.jp","0401～0331","人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","日本語教室や多言語相談など、在住外国人支援事業のほか、語学講座や国際理解教育などの国際交流事業及び多文化共生社会の実現に向けた啓発事業を実施。","あり","2021-03-12～2026-03-11"
"コウエキシャダンホウジンゼンコクアイノウカイ","公益社団法人全国愛農会","公益社団法人","内閣府","518-0221","三重県","伊賀市別府６９０番地の１","0595-52-0108","飯尾 裕光","http://www.ainou.or.jp","0101～1231","勤労意欲のある者に対する就労の支援を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
一般消費者の利益の擁護又は増進を目的とする事業","持続的な農業と暮らしを基盤とする地域社会づくり(研修と普及)並びにそれを担っていく人材の養成を行う。また持続的な農業の適切な進展を図るために有機農産物の認証事業も行う。","なし",""
"コウエキザイダンホウジンエドガワカンキョウザイダン","公益財団法人えどがわ環境財団","公益財団法人","東京都","132-0031","東京都","江戸川区松島１丁目４４番１２号ＫＴパークビル","03-5662-5541","弓場　宏之","https://www.edogawa-kankyozaidan.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業","江戸川区内にある豊かな水と緑の環境の利用を促進し緑化思想を推進するとともに、豊かな人間性の高揚を目的とした動物とのふれあい事業を行う。","なし",""
"コウエキザイダンホウジンイバラキジンゾウザイダン","公益財団法人いばらき腎臓財団","公益財団法人","茨城県","305-8576","茨城県","つくば市天久保２丁目１番地の１","029-858-3775","山縣　邦弘","http://www.ibajinbank.com/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業","臓器移植に関する事業普及啓発及び慢性腎臓病予防に関する事業、並びに研究助成と褒賞事業を行う。","あり","2024-11-01～2029-10-31"
"イッパンザイダンホウジンサイガイカガクケンキュウショ","一般財団法人災害科学研究所","一般財団法人である移行法人","内閣府","541-0043","大阪府","大阪市中央区高麗橋４丁目５番１３号淀屋橋サテライトビル","06-6202-5602","青木　伸一","http://csi.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
事故又は災害の防止を目的とする事業","災害の防止軽減に関する調査研究及びその他公益に資するための事業","なし",""
"コウエキザイダンホウジンゲンデンフレアイイバラキザダン","公益財団法人げんでんふれあい茨城財団","公益財団法人","茨城県","319-1198","茨城県","那珂郡東海村大字白方１番地の１","029-287-1251","坂佐井　豊","http://www.genden-ibarakizaidan.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","美しい自然と歴史にあふれる茨城県において、地域団体との連携あるいはその活動を支援し、地域文化と科学技術の振興及び青少年等の人材育成に関する事業、並びに「ふれあい」と「ゆとり」の創造に関する事業を行い、もって豊かな地域文化の振興、発展に寄与する以下の事業を行う。
（１）地域文化、科学技術の振興に関する事業（２）青少年等の人材育成に関する事業（３）「ふれあい」及び「ゆとり」の創造に関する事業（４）その他目的を達成するために必要な事業","なし",""
"コウエキザイダンホウジンオキナワケンコクサイコウリュウ・ジンザイイクセイザイダン","公益財団法人沖縄県国際交流・人材育成財団","公益財団法人","沖縄県","901-2221","沖縄県","宜野湾市伊佐３丁目４番１号第５タテルマンビル３階","098-942-9212","宮城　淳","http://www.oihf.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","沖縄県内に住所を有する子弟のうち、優秀な学生又は生徒で経済的理由によって修学困難な者に対し、学資を貸与又は給与、若しくは住居を貸与し、併せて留学助成その他必要な事業を行うとともに、海外からの留学生等の受入れその他国際交流・協力に関する事業を行い、もって本県の教育、文化及び産業の発展に資するための国際性豊かな有益な人材の育成並びに国際交流・協力拠点の形成を図ること","なし",""
"コウエキザイダンホウジン　チュウキントウブンカセンター","公益財団法人中近東文化センター","公益財団法人","内閣府","181-0015","東京都","三鷹市大沢３丁目１０番３１号","0422-32-7111","大村　幸弘","http://www.meccj.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","中近東文化に関する調査研究及び資料の収集・保管・展示をもって、中近東文化に関する理解と研究を通じて我が国の学術文化の向上発展に寄与することを目的とする。","なし",""
"コウエキシャダンホウジンカガワケンジュウドウセイフクシカイ","公益社団法人香川県柔道整復師会","公益社団法人","香川県","760-0008","香川県","高松市中野町１３番地１","087-834-4928","髙橋　司","http://www.kgwss.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
一般消費者の利益の擁護又は増進を目的とする事業","柔道整復の業務を通じて医療保険制度、介護保険制度及び福祉制度の運営に協力し、以って県民の健康と福祉、柔道等を通じた心身の健全な発達並びに公衆衛生の向上に寄与する。","なし",""
