,法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
1,,JASSO日本学生支援機構,,
1,コウエキザイダンホウジンショクセイカツケンキュウカイ,公益財団法人食生活研究会,http://www.z-ssk.org/,一般消費者の利益の擁護又は増進を目的とする事業
1,コウエキザイダンホウジンコクサイコウツウアンゼンガッカイ,公益財団法人国際交通安全学会,http://www.iatss.or.jp/,"事故又は災害の防止を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンシュンジュウイクエイカイ,公益財団法人春秋育英会,https://ikueikai.com,児童又は青少年の健全な育成を目的とする事業
1,イッパンザイダンホウジンセイコウショウガクカイ,一般財団法人清香奨学会,http://seikoushougakukai.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジン　イワキリュウガクセイショウガクカイ,公益財団法人岩城留学生奨学会,,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジン　カメノリザイダン,公益財団法人かめのり財団,https://www.kamenori.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジン　モミジギンコウイクエイカイ,公益財団法人もみじ銀行育英会,http://www.momijibank.co.jp/portal/link/scholarship/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンアイザワキネンイクエイザイダン,公益財団法人アイザワ記念育英財団,https://aizawa-ikuei.org/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンアシュランコクサイショウガクザイダン,公益財団法人アシュラン国際奨学財団,http://www.as-isf.com,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンインナートリップコクサイコウリュウキョウカイ,公益財団法人インナートリップ国際交流協会,http://www.itf.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンエイエフエスニホンキョウカイ,公益財団法人ＡＦＳ日本協会,https://www.afs.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンエムジーライズ,公益財団法人ＭＧ　ＲＡＩＳＥ,https://mg-raise.com/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンカトウアサオコクサイショウガクザイダン,公益財団法人加藤朝雄国際奨学財団,http://www.katoasaofoundation.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンサカグチコクサイイクエイショウガクザイダン,公益財団法人坂口国際育英奨学財団,http://sakaguchi-isf.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンジャパンマテリアルコクサイショウガクザイダン,公益財団法人ジャパンマテリアル国際奨学財団,http://www.j-foundation.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンゼン　クラブ,公益財団法人ＺＥＮ　ＣＬＵＢ,https://www.zenclub.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンタカセコクサイショウガクザイダン,公益財団法人タカセ国際奨学財団,http://www.takasesf.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンタカヤマコクサイキョウイクザイダン,公益財団法人高山国際教育財団,http://takayama-foundation.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンタツノコザイダン,公益財団法人竜の子財団,http://www.tatsunoko.jp/index.html,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジントクシュウカイコクサイショウガクザイダン,公益財団法人徳洲会国際奨学財団,http://www.tokushukai.org,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
1,コウエキザイダンホウジンハシヤショウガクカイ,公益財団法人橋谷奨学会,http://www.tsukishima.co.jp/zaidan/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
