テーブル名,カラム名,データ型,NULL許可,キー,デフォルト値,備考
articles,id,int,NO,PRI,NULL,auto_increment
articles,title,varchar(255),NO,,NULL,
articles,summary,text,NO,,NULL,
articles,content,longtext,YES,,NULL,
articles,status,"enum('draft','published')",YES,,draft,
articles,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
articles,updated_at,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
contacts,id,int,NO,PRI,NULL,auto_increment
contacts,name,varchar(100),NO,,NULL,
contacts,email,varchar(255),NO,,NULL,
contacts,job,varchar(50),NO,,NULL,
contacts,title,varchar(100),NO,,NULL,
contacts,message,text,NO,,NULL,
contacts,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
diagnosis_colleges,id,int,NO,PRI,NULL,auto_increment
diagnosis_colleges,name,varchar(255),NO,,NULL,
diagnosis_colleges,score,int,NO,,NULL,
diagnosis_colleges,need_based,tinyint(1),YES,,0,
diagnosis_keywords,id,int,NO,PRI,NULL,auto_increment
diagnosis_keywords,keyword,varchar(100),NO,,NULL,
diagnosis_keywords,points,int,NO,,NULL,
experience_likes,id,int,NO,PRI,NULL,auto_increment
experience_likes,experience_id,int,NO,MUL,NULL,
experience_likes,user_id,int,NO,,NULL,
experience_likes,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
experience_reports,id,int,NO,PRI,NULL,auto_increment
experience_reports,experience_id,int,NO,,NULL,
experience_reports,user_id,int,NO,,NULL,
experience_reports,reason,text,YES,,NULL,
experience_reports,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
experiences,id,int,NO,PRI,NULL,auto_increment
experiences,user_id,int,NO,,NULL,
experiences,country,varchar(100),NO,,NULL,
experiences,university,varchar(255),YES,,匿名,
experiences,author_name,varchar(100),NO,,NULL,
experiences,major,varchar(255),YES,,匿名,
experiences,rating,tinyint,NO,,NULL,
experiences,summary,text,NO,,NULL,
experiences,good,text,NO,,NULL,
experiences,bad,text,NO,,NULL,
experiences,fun,text,NO,,NULL,
experiences,like_count,int,YES,,0,
experiences,status,"enum('pending','published')",YES,,pending,
experiences,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
favorite_logs,id,int,NO,PRI,NULL,auto_increment
favorite_logs,user_id,int,YES,,NULL,
favorite_logs,university_id,int,YES,,NULL,
favorite_logs,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
foundation_scholarships,id,int,NO,PRI,NULL,auto_increment
foundation_scholarships,name,varchar(255),NO,,NULL,
foundation_scholarships,url,varchar(500),YES,,NULL,
foundation_scholarships,deadline,date,YES,,NULL,
foundation_scholarships,amount,varchar(255),YES,,NULL,
foundation_scholarships,num_recipients,varchar(100),YES,,NULL,
foundation_scholarships,duration,varchar(100),YES,,NULL,
foundation_scholarships,target_countries,varchar(255),YES,,NULL,
foundation_scholarships,language_requirement,varchar(255),YES,,NULL,
foundation_scholarships,other_requirements,text,YES,,NULL,
foundation_scholarships,target,varchar(255),YES,,NULL,
foundation_scholarships,status,"enum('active','upcoming','closed')",YES,,active,
foundation_scholarships,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
notices,id,int,NO,PRI,NULL,auto_increment
notices,title,varchar(255),NO,,NULL,
notices,content,text,NO,,NULL,
notices,published_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
program_scholarships,id,int,NO,PRI,NULL,auto_increment
program_scholarships,name,varchar(255),NO,,NULL,
program_scholarships,sponsor,varchar(255),YES,,NULL,
program_scholarships,url,varchar(500),YES,,NULL,
program_scholarships,country,varchar(255),YES,,NULL,
program_scholarships,start_date,date,YES,,NULL,
program_scholarships,end_date,date,YES,,NULL,
program_scholarships,application_deadline,date,YES,,NULL,
program_scholarships,content,text,YES,,NULL,
program_scholarships,requirements,text,YES,,NULL,
program_scholarships,target,varchar(255),YES,,NULL,
program_scholarships,status,"enum('active','upcoming','closed')",YES,,active,
program_scholarships,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
programs,id,int,NO,PRI,NULL,auto_increment
programs,name,varchar(255),NO,,NULL,
programs,view_count,int,YES,,0,
programs,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
scholarships,id,int,NO,PRI,NULL,auto_increment
scholarships,name,varchar(255),NO,,NULL,
scholarships,provider,varchar(255),NO,,NULL,
scholarships,view_count,int,YES,,0,
scholarships,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
sessions,session_id,varchar(128),NO,PRI,NULL,
sessions,expires,"int unsigned",NO,,NULL,
sessions,data,mediumtext,YES,,NULL,
sessions,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
templates,id,int,NO,PRI,NULL,auto_increment
templates,title,varchar(255),NO,,NULL,
templates,description,text,NO,,NULL,
templates,icon,varchar(10),YES,,?,
templates,file_url,varchar(500),NO,,NULL,
templates,file_type,varchar(50),YES,,NULL,
templates,sort_order,int,YES,,0,
templates,is_active,tinyint(1),YES,,1,
templates,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
thread_favorites,id,int,NO,PRI,NULL,auto_increment
thread_favorites,thread_id,int,NO,MUL,NULL,
thread_favorites,user_id,int,NO,,NULL,
thread_favorites,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
thread_likes,id,int,NO,PRI,NULL,auto_increment
thread_likes,reply_id,int,NO,MUL,NULL,
thread_likes,user_id,int,NO,,NULL,
thread_likes,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
thread_replies,id,int,NO,PRI,NULL,auto_increment
thread_replies,thread_id,int,NO,,NULL,
thread_replies,user_id,int,NO,,NULL,
thread_replies,content,text,NO,,NULL,
thread_replies,like_count,int,YES,,0,
thread_replies,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
thread_reports,id,int,NO,PRI,NULL,auto_increment
thread_reports,type,"enum('thread','reply')",NO,,NULL,
thread_reports,target_id,int,NO,,NULL,
thread_reports,user_id,int,NO,,NULL,
thread_reports,reason,text,YES,,NULL,
thread_reports,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
threads,id,int,NO,PRI,NULL,auto_increment
threads,user_id,int,NO,,NULL,
threads,title,varchar(255),NO,,NULL,
threads,content,text,NO,,NULL,
threads,view_count,int,YES,,0,
threads,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
threads,updated_at,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
universities,id,int,NO,PRI,NULL,auto_increment
universities,name,varchar(255),NO,,NULL,
universities,country,varchar(100),NO,,NULL,
universities,favorite_count,int,YES,,0,
universities,view_count,int,YES,,0,
universities,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
university_favorites,id,int,NO,PRI,NULL,auto_increment
university_favorites,user_id,int,NO,MUL,NULL,
university_favorites,university_id,int,NO,,NULL,
university_favorites,created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
